group_name,attribute,attribute_label,verified_present_count,sources_with_verified_evidence,share_sources_with_verified_evidence,interpretation_note
overall,overtime_callback_holdover_mandatory_extra_work,"Overtime, callback, holdover, or mandatory extra work",34,23,0.6216,Extra-duty compensation architecture; frequent wherever continuous coverage or unpredictable call-outs are contractually anticipated.
overall,classification_reclassification_or_grade_structure,"Classification, reclassification, or wage-grade structure",34,20,0.5405,Wage-setting via classification/grade/step structures; common across both safety and non-safety sources in this corpus.
overall,grievance_or_contract_interpretation_arbitration,Grievance or contract-interpretation arbitration,29,19,0.5135,"Ordinary dispute-resolution arbitration; present in most CBAs regardless of occupation, distinct from interest/impasse arbitration."
overall,benefits_total_compensation_or_pension,"Benefits, total compensation, or pension",29,18,0.4865,"Non-wage compensation (health, pension, leave); broadly present across occupation groups, not safety-specific."
overall,union_security_or_institutional_power,Union security / institutional power,25,18,0.4865,"Recognition, dues checkoff, exclusive representation; an institutional-power channel present across groups."
overall,management_rights_or_service_flexibility,Management rights / service flexibility,24,16,0.4324,Management's reserved authority to direct staffing/operations; a counterweight clause present across groups.
overall,premium_pay_differentials,Premium pay / differentials,19,16,0.4324,"Shift/assignment/specialty pay add-ons beyond base wage; a narrower, more occupation-specific channel."
overall,civil_service_or_statutory_employment_channel,Civil-service or statutory employment channel,18,14,0.3784,"Explicit statutory/civil-service framing of the bargaining relationship (e.g., Chapter 174, ORC 4117)."
safety,overtime_callback_holdover_mandatory_extra_work,"Overtime, callback, holdover, or mandatory extra work",18,14,0.6364,Extra-duty compensation architecture; frequent wherever continuous coverage or unpredictable call-outs are contractually anticipated.
safety,grievance_or_contract_interpretation_arbitration,Grievance or contract-interpretation arbitration,15,11,0.5,"Ordinary dispute-resolution arbitration; present in most CBAs regardless of occupation, distinct from interest/impasse arbitration."
safety,benefits_total_compensation_or_pension,"Benefits, total compensation, or pension",16,10,0.4545,"Non-wage compensation (health, pension, leave); broadly present across occupation groups, not safety-specific."
safety,classification_reclassification_or_grade_structure,"Classification, reclassification, or wage-grade structure",15,10,0.4545,Wage-setting via classification/grade/step structures; common across both safety and non-safety sources in this corpus.
safety,management_rights_or_service_flexibility,Management rights / service flexibility,15,10,0.4545,Management's reserved authority to direct staffing/operations; a counterweight clause present across groups.
safety,union_security_or_institutional_power,Union security / institutional power,14,10,0.4545,"Recognition, dues checkoff, exclusive representation; an institutional-power channel present across groups."
safety,civil_service_or_statutory_employment_channel,Civil-service or statutory employment channel,11,9,0.4091,"Explicit statutory/civil-service framing of the bargaining relationship (e.g., Chapter 174, ORC 4117)."
safety,premium_pay_differentials,Premium pay / differentials,11,9,0.4091,"Shift/assignment/specialty pay add-ons beyond base wage; a narrower, more occupation-specific channel."
safety_adjacent,benefits_total_compensation_or_pension,"Benefits, total compensation, or pension",1,1,1.0,"Non-wage compensation (health, pension, leave); broadly present across occupation groups, not safety-specific."
safety_adjacent,civil_service_or_statutory_employment_channel,Civil-service or statutory employment channel,3,1,1.0,"Explicit statutory/civil-service framing of the bargaining relationship (e.g., Chapter 174, ORC 4117)."
safety_adjacent,classification_reclassification_or_grade_structure,"Classification, reclassification, or wage-grade structure",2,1,1.0,Wage-setting via classification/grade/step structures; common across both safety and non-safety sources in this corpus.
safety_adjacent,grievance_or_contract_interpretation_arbitration,Grievance or contract-interpretation arbitration,2,1,1.0,"Ordinary dispute-resolution arbitration; present in most CBAs regardless of occupation, distinct from interest/impasse arbitration."
safety_adjacent,management_rights_or_service_flexibility,Management rights / service flexibility,1,1,1.0,Management's reserved authority to direct staffing/operations; a counterweight clause present across groups.
safety_adjacent,no_strike_or_work_stoppage_constraint,No-strike / work-stoppage constraint,1,1,1.0,No-strike/essential-services language; more common in the safety group's institutional trade for arbitration access.
safety_adjacent,overtime_callback_holdover_mandatory_extra_work,"Overtime, callback, holdover, or mandatory extra work",3,1,1.0,Extra-duty compensation architecture; frequent wherever continuous coverage or unpredictable call-outs are contractually anticipated.
safety_adjacent,premium_pay_differentials,Premium pay / differentials,1,1,1.0,"Shift/assignment/specialty pay add-ons beyond base wage; a narrower, more occupation-specific channel."
non_safety,classification_reclassification_or_grade_structure,"Classification, reclassification, or wage-grade structure",17,9,0.6429,Wage-setting via classification/grade/step structures; common across both safety and non-safety sources in this corpus.
non_safety,overtime_callback_holdover_mandatory_extra_work,"Overtime, callback, holdover, or mandatory extra work",13,8,0.5714,Extra-duty compensation architecture; frequent wherever continuous coverage or unpredictable call-outs are contractually anticipated.
non_safety,benefits_total_compensation_or_pension,"Benefits, total compensation, or pension",12,7,0.5,"Non-wage compensation (health, pension, leave); broadly present across occupation groups, not safety-specific."
non_safety,grievance_or_contract_interpretation_arbitration,Grievance or contract-interpretation arbitration,12,7,0.5,"Ordinary dispute-resolution arbitration; present in most CBAs regardless of occupation, distinct from interest/impasse arbitration."
non_safety,union_security_or_institutional_power,Union security / institutional power,10,7,0.5,"Recognition, dues checkoff, exclusive representation; an institutional-power channel present across groups."
non_safety,premium_pay_differentials,Premium pay / differentials,7,6,0.4286,"Shift/assignment/specialty pay add-ons beyond base wage; a narrower, more occupation-specific channel."
non_safety,management_rights_or_service_flexibility,Management rights / service flexibility,8,5,0.3571,Management's reserved authority to direct staffing/operations; a counterweight clause present across groups.
non_safety,civil_service_or_statutory_employment_channel,Civil-service or statutory employment channel,4,4,0.2857,"Explicit statutory/civil-service framing of the bargaining relationship (e.g., Chapter 174, ORC 4117)."
massachusetts,classification_reclassification_or_grade_structure,"Classification, reclassification, or wage-grade structure",20,11,0.6875,Wage-setting via classification/grade/step structures; common across both safety and non-safety sources in this corpus.
massachusetts,grievance_or_contract_interpretation_arbitration,Grievance or contract-interpretation arbitration,17,10,0.625,"Ordinary dispute-resolution arbitration; present in most CBAs regardless of occupation, distinct from interest/impasse arbitration."
massachusetts,overtime_callback_holdover_mandatory_extra_work,"Overtime, callback, holdover, or mandatory extra work",16,10,0.625,Extra-duty compensation architecture; frequent wherever continuous coverage or unpredictable call-outs are contractually anticipated.
massachusetts,premium_pay_differentials,Premium pay / differentials,8,7,0.4375,"Shift/assignment/specialty pay add-ons beyond base wage; a narrower, more occupation-specific channel."
massachusetts,benefits_total_compensation_or_pension,"Benefits, total compensation, or pension",10,6,0.375,"Non-wage compensation (health, pension, leave); broadly present across occupation groups, not safety-specific."
massachusetts,training_certification_credential_premiums,"Training, certification, credential, or education premiums",7,6,0.375,Credential-linked pay; present but less common than classification/overtime channels.
massachusetts,hazard_risk_stress_or_line_of_duty_rationale,"Hazard, risk, stress, or line-of-duty rationale",4,4,0.25,Explicit hazard/risk/line-of-duty rationale for pay or benefits; concentrated in safety sources.
massachusetts,union_security_or_institutional_power,Union security / institutional power,5,4,0.25,"Recognition, dues checkoff, exclusive representation; an institutional-power channel present across groups."
texas,civil_service_or_statutory_employment_channel,Civil-service or statutory employment channel,10,6,0.75,"Explicit statutory/civil-service framing of the bargaining relationship (e.g., Chapter 174, ORC 4117)."
texas,management_rights_or_service_flexibility,Management rights / service flexibility,8,6,0.75,Management's reserved authority to direct staffing/operations; a counterweight clause present across groups.
texas,overtime_callback_holdover_mandatory_extra_work,"Overtime, callback, holdover, or mandatory extra work",10,6,0.75,Extra-duty compensation architecture; frequent wherever continuous coverage or unpredictable call-outs are contractually anticipated.
texas,union_security_or_institutional_power,Union security / institutional power,9,6,0.75,"Recognition, dues checkoff, exclusive representation; an institutional-power channel present across groups."
texas,benefits_total_compensation_or_pension,"Benefits, total compensation, or pension",8,5,0.625,"Non-wage compensation (health, pension, leave); broadly present across occupation groups, not safety-specific."
texas,grievance_or_contract_interpretation_arbitration,Grievance or contract-interpretation arbitration,8,5,0.625,"Ordinary dispute-resolution arbitration; present in most CBAs regardless of occupation, distinct from interest/impasse arbitration."
texas,premium_pay_differentials,Premium pay / differentials,5,5,0.625,"Shift/assignment/specialty pay add-ons beyond base wage; a narrower, more occupation-specific channel."
texas,classification_reclassification_or_grade_structure,"Classification, reclassification, or wage-grade structure",5,4,0.5,Wage-setting via classification/grade/step structures; common across both safety and non-safety sources in this corpus.
ohio,union_security_or_institutional_power,Union security / institutional power,11,8,0.6154,"Recognition, dues checkoff, exclusive representation; an institutional-power channel present across groups."
ohio,benefits_total_compensation_or_pension,"Benefits, total compensation, or pension",11,7,0.5385,"Non-wage compensation (health, pension, leave); broadly present across occupation groups, not safety-specific."
ohio,management_rights_or_service_flexibility,Management rights / service flexibility,11,7,0.5385,Management's reserved authority to direct staffing/operations; a counterweight clause present across groups.
ohio,overtime_callback_holdover_mandatory_extra_work,"Overtime, callback, holdover, or mandatory extra work",8,7,0.5385,Extra-duty compensation architecture; frequent wherever continuous coverage or unpredictable call-outs are contractually anticipated.
ohio,subcontracting_outsourcing_or_volunteer_substitution,"Subcontracting, outsourcing, or substitution",6,6,0.4615,Contracting-out/outsourcing restrictions; present in a minority of sources across groups.
ohio,civil_service_or_statutory_employment_channel,Civil-service or statutory employment channel,5,5,0.3846,"Explicit statutory/civil-service framing of the bargaining relationship (e.g., Chapter 174, ORC 4117)."
ohio,classification_reclassification_or_grade_structure,"Classification, reclassification, or wage-grade structure",9,5,0.3846,Wage-setting via classification/grade/step structures; common across both safety and non-safety sources in this corpus.
ohio,grievance_or_contract_interpretation_arbitration,Grievance or contract-interpretation arbitration,4,4,0.3077,"Ordinary dispute-resolution arbitration; present in most CBAs regardless of occupation, distinct from interest/impasse arbitration."
